Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/24/2023 21:25:06,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,เชียงใหม่,9 - 12 ชั่วโมง,3 - 6 ชั่วโมง,เกม,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,4,4,4
8/24/2023 21:34:06,0,ชาย,10 - 20 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมและเพลง,เคย,สมัคร,ชอบดู,เหมาะสม,5,4,5,4,5
8/25/2023 5:46:13,0,ชาย,20 - 30 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,3 - 6 ชั่วโมง,3 - 6 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,Ads มีความถี่เกินไป,3,2,0,1,2
8/25/2023 6:44:53,0,ชาย,41 - 50 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,น้อยกว่า 3 ชั่วโมง,6 - 9 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 6:45:41,0,ชาย,31 - 40 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,1,1
8/25/2023 7:46:44,0,ชาย,31 - 40 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เล่าเรื่องผี,ไม่เคย,ไม่สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,2,1,0,1,1
8/25/2023 7:47:12,0,หญิง,20 - 30 ปี,ปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,1
8/25/2023 8:22:16,0,ชาย,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,2,0,2,1
8/25/2023 8:24:05,0,หญิง,10 - 20 ปี,ต่ำกว่าปริญญาตรี,กรุงเทพมหานคร,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ASMR,เคย,สมัคร,ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,3,4,5,3,4
8/25/2023 8:47:45,0,ชาย,20 - 30 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เกมโชว์,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,1,1,0,2,1
